,PlayerName,Season,Games,Position,Age,Team,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum
0,Nikola Jokić,2023,67,C,27,DEN,97,97,182,96
1,Joel Embiid,2023,64,C,28,PHI,96,93,178,93
2,Luka Dončić,2023,64,PG,23,DAL,96,89,176,92
3,Giannis Antetokounmpo,2023,62,PF,28,MIL,94,92,175,91
4,Shai Gilgeous-Alexander,2023,66,PG,24,OKC,94,89,173,90
5,Jayson Tatum,2023,72,PF,24,BOS,93,89,172,89
6,Jimmy Butler,2023,62,SF,33,MIA,93,89,172,89
7,Anthony Davis,2023,52,C,29,LAL,90,92,171,89
8,Domantas Sabonis,2023,76,C,26,SAC,90,88,169,88
9,Donovan Mitchell,2023,67,SG,26,CLE,91,87,169,88
10,Kevin Durant,2023,45,PF-SF,34,PHO,91,85,168,87
11,LeBron James,2023,51,PF,38,LAL,91,84,168,87
12,Kawhi Leonard,2023,49,SF,31,LAC,89,87,167,86
13,Stephen Curry,2023,53,PG,34,GSW,93,81,167,86
14,Damian Lillard,2023,58,PG,32,POR,96,76,167,86
15,Ja Morant,2023,59,PG,23,MEM,90,84,166,86
16,Nic Claxton,2023,73,C,23,BRK,83,95,166,86
17,Kristaps Porziņģis,2023,65,C,27,WAS,88,87,166,86
18,James Harden,2023,56,PG,33,PHI,90,84,166,86
19,Tyrese Haliburton,2023,56,PG,22,IND,91,81,166,86
20,Jaren Jackson Jr.,2023,60,C,23,MEM,83,95,166,86
21,DeMar DeRozan,2023,71,SF,33,CHI,88,85,165,85
22,Julius Randle,2023,77,PF,28,NYK,89,84,165,85
23,Evan Mobley,2023,77,PF,21,CLE,83,93,165,85
24,Jaylen Brown,2023,66,SF,26,BOS,87,85,164,84
25,Paul George,2023,56,SG,32,LAC,87,85,164,84
26,Bam Adebayo,2023,72,C,25,MIA,84,89,164,84
27,Nikola Vučević,2023,78,C,32,CHI,84,89,164,84
28,Kyrie Irving,2023,59,PG,30,DAL,90,80,164,84
29,Jarrett Allen,2023,66,C,24,CLE,83,89,163,84
30,Devin Booker,2023,51,SG,26,PHO,89,80,163,84
31,Jalen Brunson,2023,68,PG,26,NYK,90,78,163,84
32,Jrue Holiday,2023,65,PG,32,MIL,87,84,163,84
33,Lauri Markkanen,2023,66,SF,25,UTA,89,80,163,84
34,Fred VanVleet,2023,66,PG,28,TOR,85,87,163,84
35,Zion Williamson,2023,29,PF,22,NOP,88,82,163,84
36,Anthony Edwards,2023,76,SG,21,MIN,85,87,163,84
37,Pascal Siakam,2023,68,C,28,TOR,88,82,163,84
38,Brook Lopez,2023,76,C,34,MIL,82,91,163,84
39,De'Aaron Fox,2023,70,PG,25,SAC,89,78,162,83
40,Trae Young,2023,71,PG,24,ATL,91,74,162,83
41,Darius Garland,2023,68,PG,23,CLE,88,81,162,83
42,Mikal Bridges,2023,79,SF,26,BRK,85,84,162,83
43,Zach LaVine,2023,74,SG,27,CHI,88,81,162,83
44,Dejounte Murray,2023,71,SG,26,ATL,84,84,161,83
45,Rudy Gobert,2023,67,C,30,MIN,82,88,161,83
46,Chris Paul,2023,57,PG,37,PHO,83,87,161,83
47,Desmond Bane,2023,55,SG,24,MEM,85,82,161,83
48,Myles Turner,2023,62,C,26,IND,84,85,161,83
49,Kyle Anderson,2023,66,PF,29,MIN,81,88,160,82
50,Walker Kessler,2023,74,C,21,UTA,82,87,160,82
51,Jakob Poeltl,2023,68,C,27,TOR,83,85,160,82
52,OG Anunoby,2023,64,SF,25,TOR,81,88,160,82
53,Christian Wood,2023,66,C,27,DAL,84,81,159,81
54,Delon Wright,2023,49,PG,30,WAS,79,89,159,81
55,Aaron Gordon,2023,66,PF,27,DEN,84,81,159,81
56,Derrick White,2023,78,SG,28,BOS,82,85,159,81
57,Deandre Ayton,2023,65,C,24,PHO,83,84,159,81
58,CJ McCollum,2023,71,SG,31,NOP,84,81,159,81
59,Immanuel Quickley,2023,78,PG,23,NYK,83,82,159,81
60,Clint Capela,2023,62,C,28,ATL,83,82,159,81
61,Scottie Barnes,2023,73,PF,21,TOR,83,84,159,81
62,Jamal Murray,2023,63,PG,25,DEN,85,78,158,81
63,Bradley Beal,2023,50,SG,29,WAS,85,77,158,81
64,Onyeka Okongwu,2023,76,C,22,ATL,81,85,158,81
65,Trey Murphy III,2023,75,SF,22,NOP,82,84,158,81
66,Alperen Şengün,2023,72,C,20,HOU,83,81,158,81
67,Kevon Looney,2023,79,C,26,GSW,81,85,158,81
68,Tobias Harris,2023,72,PF,30,PHI,82,84,158,81
69,Jalen Williams,2023,73,SG,21,OKC,81,85,158,81
70,Josh Giddey,2023,74,SG,20,OKC,83,81,158,81
71,Draymond Green,2023,70,PF,32,GSW,78,89,158,81
72,Brandon Ingram,2023,41,SF,25,NOP,85,78,158,81
73,Al Horford,2023,61,C,36,BOS,81,85,158,81
74,LaMelo Ball,2023,36,PG,21,CHO,85,78,158,81
75,De'Anthony Melton,2023,75,PG,24,PHI,78,89,158,81
76,D'Angelo Russell,2023,68,PG,26,LAL,84,80,158,81
77,Malcolm Brogdon,2023,65,PG,30,BOS,83,81,158,81
78,Paolo Banchero,2023,71,PF,20,ORL,82,81,157,80
79,Cameron Johnson,2023,39,PF,26,BRK,82,81,157,80
80,Bobby Portis,2023,67,PF,27,MIL,82,81,157,80
81,Russell Westbrook,2023,70,PG,34,LAC,82,82,157,80
82,Alex Caruso,2023,64,PG,28,CHI,76,91,157,80
83,Wendell Carter Jr.,2023,55,C,23,ORL,82,81,157,80
84,Markelle Fultz,2023,57,PG,24,ORL,81,84,157,80
85,Franz Wagner,2023,77,SF,21,ORL,83,80,157,80
86,Tyus Jones,2023,77,PG,26,MEM,82,81,157,80
87,Robert Williams,2023,33,C,25,BOS,79,85,157,80
88,Jarred Vanderbilt,2023,74,PF,23,LAL,78,87,157,80
89,Brandon Clarke,2023,56,PF,26,MEM,81,84,157,80
90,Jonas Valančiūnas,2023,75,C,30,NOP,82,81,157,80
91,Larry Nance Jr.,2023,61,PF,30,NOP,78,87,157,80
92,Karl-Anthony Towns,2023,26,PF,27,MIN,83,80,157,80
93,Gary Trent Jr.,2023,63,SG,24,TOR,82,82,157,80
94,Buddy Hield,2023,77,SF,30,IND,83,80,157,80
95,Tyler Herro,2023,64,SG,23,MIA,83,80,157,80
96,Josh Hart,2023,73,SF-SG,27,NYK,79,85,157,80
97,Xavier Tillman Sr.,2023,59,PF,24,MEM,79,85,157,80
98,Tyrese Maxey,2023,59,SG,22,PHI,84,76,156,79
99,Naz Reid,2023,68,C,23,MIN,81,82,156,79
100,Herbert Jones,2023,62,SF,24,NOP,77,88,156,79
101,Steven Adams,2023,42,C,29,MEM,78,85,156,79
102,Marcus Smart,2023,60,PG,28,BOS,78,85,156,79
103,Caris LeVert,2023,73,SG,28,CLE,78,85,156,79
104,Ivica Zubac,2023,73,C,25,LAC,79,84,156,79
105,Spencer Dinwiddie,2023,76,PG,29,BRK,84,77,156,79
106,Jusuf Nurkić,2023,52,C,28,POR,79,84,156,79
107,Ben Simmons,2023,42,PG,26,BRK,77,88,156,79
108,Donte DiVincenzo,2023,69,SG,26,GSW,78,84,155,79
109,Kelly Olynyk,2023,65,C,31,UTA,79,82,155,79
110,Isaiah Hartenstein,2023,79,C,24,NYK,77,85,155,79
111,Kevin Huerter,2023,72,SG,24,SAC,82,78,155,79
112,Kevin Porter Jr.,2023,57,PG,22,HOU,83,77,155,79
113,Terry Rozier,2023,63,SG,28,CHO,82,78,155,79
114,Bruce Brown,2023,77,SG,26,DEN,78,84,155,79
115,Cole Anthony,2023,58,PG,22,ORL,81,80,155,79
