,PLAYER_ID,FIRST_NAME,LAST_NAME,AGE,HOMETOWN,LONGITUDE,LATITUDE,RATING,POS
0,203932,Aaron,Gordon,26,"San Jose, California",37.3361905,-121.890583,79,PF
2,1628988,Aaron,Holiday,25,"Ruston, Louisiana",32.5232053,-92.637927,76,PG
3,1630174,Aaron,Nesmith,22,"Charleston, South Carolina",32.7876012,-79.9402728,73,SF
4,1630598,Aaron,Wiggins,23,"Greensboro, North Carolina",36.0726355,-79.7919754,73,SG
7,1629678,Admiral,Schofield,25,"London, United Kingdom",51.5073219,-0.1276474,71,SF
9,201143,Al,Horford,36,"Puerto Plata, Dominican Republic",19.7444333,-70.8000756,84,C
10,202692,Alec,Burks,30,"Grandview, Missouri",38.8898478,-94.5313816,81,SG
12,1630197,Aleksej,Pokusevski,20,"Belgrade, Serbia",44.8178131,20.4568974,76,PF
13,1627936,Alex,Caruso,28,"College Station, Texas",30.5955289,-96.3071042,78,SG
14,203458,Alex,Len,29,"Antratsit, Ukraine",48.12,39.0898,74,C
16,1628993,Alize,Johnson,26,"Williamsport, Pennsylvania",41.2493292,-77.0027671,72,PF
18,1629599,Amir,Coffey,25,"Hopkins, Minnesota",44.9271194,-93.4074945,76,SG
19,203083,Andre,Drummond,28,"Mount Vernon, New York",40.9125815,-73.8370786,82,C
20,2738,Andre,Iguodala,38,"Springfield, Illinois",39.7990175,-89.6439575,78,SF
21,203952,Andrew,Wiggins,27,"Toronto, Ontario",43.6534817,-79.3839347,82,SF
22,1629014,Anfernee,Simons,23,"Longwood, Florida",28.7008496,-81.3465575,76,SG
23,203076,Anthony,Davis,29,"Chicago, Illinois",41.8755616,-87.6244212,85,C
24,1630162,Anthony,Edwards,20,"Atlanta, Georgia",33.7489924,-84.3902644,82,SG
25,1630264,Anthony,Gill,29,"High Point, North Carolina",35.9556924,-80.0053176,74,PF
27,1629717,Armoni,Brooks,24,"Waco, Texas",31.549333,-97.1466695,73,SG-PG
29,1630559,Austin,Reaves,24,"Newark, Arkansas",35.7008914,-91.4450306,75,SG
30,203085,Austin,Rivers,29,"Santa Monica, California",34.0194704,-118.4912273,73,SG
31,202340,Avery,Bradley,31,"Tacoma, Washington",47.2495798,-122.4398746,74,SG
32,1630245,Ayo,Dosunmu,22,"Chicago, Illinois",41.8755616,-87.6244212,76,SG
34,1628389,Bam,Adebayo,24,"Newark, New Jersey",40.735657,-74.1723667,86,C
35,203463,Ben,McLemore,29,"St. Louis, Missouri",38.6264256,-90.1995853,74,SG
37,201933,Blake,Griffin,33,"Oklahoma City, Oklahoma",35.4729886,-97.5170536,76,C
39,1626171,Bobby,Portis,27,"Little Rock, Arkansas",34.7465071,-92.2896267,81,C
43,1630538,Bones,Hyland,21,"Wilmington, Delaware",39.7459468,-75.546589,78,SG
44,202954,Brad,Wanamaker,32,"Philadelphia, Pennsylvania",39.9527237,-75.1635262,72,PG
45,203078,Bradley,Beal,29,"St. Louis, Missouri",38.6264256,-90.1995853,79,SG
46,1630527,Brandon,Boston Jr.,20,"Norcross, Georgia",33.9412127,-84.2135309,74,SG
47,1629634,Brandon,Clarke,25,"Vancouver, British Columbia",49.2608724,-123.113952,82,PF
48,1629164,Brandon,Goodwin,26,"Norcross, Georgia",33.9412127,-84.2135309,76,PG
49,1627742,Brandon,Ingram,24,"Kinston, North Carolina",35.2626635,-77.5816353,82,SF
51,1630314,Brandon,Williams,22,"Los Angeles, California",34.0536909,-118.242766,74,PG
55,1628971,Bruce,Brown,25,"Boston, Massachusetts",42.3554334,-71.060511,80,SF
56,1628981,Bruno,Fernando,23,"Luanda, Angola",-8.8272699,13.2439512,76,C
57,1627854,Bryn,Forbes,28,"Lansing, Michigan",42.7337712,-84.5553805,74,SG
58,1627741,Buddy,Hield,29,"Freeport, Bahamas",26.535681,-78.6953623,78,SG
59,1629604,CJ,Elleby,22,"Federal Way, Washington",47.313494,-122.3393103,72,SF
60,203468,CJ,McCollum,30,"Canton, Ohio",40.7985464,-81.3749508,82,SG
